# INVENTARIO_VERIFICADO=142 ARCHIVOS_A_EJECUTAR=127 NODE=v22.22.2 FECHA_UTC=2026-09-20T09:27:59Z
ruta	clasificacion	codigo_salida	duracion_ms	ultima_marca	resultado_final
tests/pm14/p07-encargos-concurrencia-contract.mjs	active_contract	0	6088ms	PM14 P07 Encargos — concurrencia real probada donde importa (caja), riesgo de fondo documentado donde no se resuelve (documento en blob): contrato OK	PASS
tests/pm14/p08-encargos-historial-contract.mjs	active_contract	0	93ms	PM14 P08 Encargos — historial de cancelados/devueltos: contrato OK	PASS
tests/pm15/p01-la022-locales-empresa-contract.mjs	active_contract	0	81ms	PM15 P01 (LA-022) — Locales: nombre vacío no culpa a una empresa ya elegida: contrato OK	PASS
tests/pm15/p01-nr08-cambio-contexto-no-alcanzable-contract.mjs	active_contract	0	86ms	PM15 P01 (NR-08, alcance literal) — cambiar contexto mientras un formulario de Encargos/Clientes sigue abierto no es alcanzable en la UI actual: contrato OK (pérdida general de borrador al cambiar de pestaña queda documentada como pendiente, no resuelta aquí)	PASS
tests/pm15/p02-mej01-contexto-modales-contract.mjs	active_contract	0	91ms	PM15 P02 (MEJ-01) — empresa/local visibles en modales de acciones sensibles: contrato OK	PASS
tests/pm15/p03-mej02-confirmacion-pago-destino-contract.mjs	active_contract	0	80ms	PM15 P03 (MEJ-02) — confirmación de pago con importe y destino: contrato OK	PASS
tests/pm15/p04-nr08-proteccion-borrador-navegacion-contract.mjs	active_contract	0	107ms	PM15 (NR-08, ampliación) — borradores protegidos al cambiar de pestaña: contrato OK	PASS
tests/pm16/p01-la025-loadkey-fallos-contract.mjs	active_contract	0	1136ms	PM16 P01 (LA-025) — loadKey diferencia ausencia/corrupción/cuota/acceso: contrato OK	PASS
tests/pm16/p01-la025-ui-fallos-carga-contract.mjs	active_contract	0	88ms	PM16 P01 (LA-025) — fallo real de carga visible de punta a punta: contrato OK	PASS
tests/pm17/p01-rollback-push-nativo-contract.mjs	active_contract	0	80ms	PM17 P01 (rollback push nativo) — activarSuscripcionPushPM17: contrato OK	PASS
tests/pm17/p01-wiring-notificaciones-contract.mjs	active_contract	0	77ms	PM17 P01 (wiring nativo) — Notificaciones.activar() conectado al rollback: contrato OK	PASS
tests/pm17/p02-neutralidad-informes-nativo-contract.mjs	active_contract	0	80ms	PM17 P02 (neutralidad nativa) — clasificación de informes: contrato OK	PASS
tests/pm17/p02-wiring-seleccionpersonal-contract.mjs	active_contract	0	77ms	PM17 P02 (wiring nativo) — SeleccionPersonal neutralizado de punta a punta: contrato OK	PASS
tests/pm17/p03-auth-ux-nativo-contract.mjs	active_contract	0	77ms	PM17 P03 (auth UX nativo) — debeMostrarLogoutPropietarioPM17: contrato OK	PASS
tests/pm17/p03-wiring-login-logout-contract.mjs	active_contract	0	80ms	PM17 P03 (wiring auth UX nativo) — login y logout de Propietario: contrato OK	PASS
tests/pm17/p04-retirar-parches-externos-contract.mjs	active_contract	0	85ms	PM17 P04 (retirada de parches externos) — sin dependencia de red en runtime: contrato OK	PASS
tests/pm18/p01-identidad-fiscal-contract.mjs	active_contract	0	81ms	PM18 P01 (LA-021) — identidad fiscal nunca se presenta como verificada sin serlo: contrato OK	PASS
tests/pm18/p01-wiring-identidad-fiscal-contract.mjs	active_contract	0	86ms	PM18 P01 (wiring) — identidad fiscal conectada de punta a punta: contrato OK	PASS
tests/pm19/p01-appcc-historico-trazable-contract.mjs	active_contract	0	80ms	PM19 P01 (APPCC histórico trazable) — funciones puras: contrato OK	PASS
tests/pm19/p01-wiring-appcc-contract.mjs	active_contract	0	85ms	PM19 P01 (wiring APPCC) — histórico trazable de punta a punta: contrato OK	PASS
tests/pm19/p02-aceite-responsable-contract.mjs	active_contract	0	77ms	PM19 P02 (aceite responsable obligatorio) — función pura: contrato OK	PASS
tests/pm19/p02-wiring-aceite-contract.mjs	active_contract	0	76ms	PM19 P02 (wiring aceite) — responsable obligatorio conectado: contrato OK	PASS
tests/pm19/p03-wiring-traspasos-contract.mjs	active_contract	0	78ms	PM19 P03 (corregido) — traspasarStock usa la única autoridad de contexto: contrato OK	PASS
tests/pm19/p04-merma-descuenta-una-vez-contract.mjs	active_contract	0	78ms	PM19 P04 (merma descuenta una vez) — id determinista: contrato OK	PASS
tests/pm19/p04-wiring-merma-contract.mjs	active_contract	0	78ms	PM19 P04 (wiring merma) — merma por lote protegida por deduplicación real: contrato OK	PASS
tests/pm19/p05-comportamiento-guardia-contract.mjs	active_contract	0	103ms	PM19 P05 — comportamiento real de la guardia en los 5 módulos (positivo/negativo): contrato OK	PASS
tests/pm19/p05-inventario-mutaciones-protegidas-contract.mjs	active_contract	0	85ms	PM19 P05 — inventario de 23 mutaciones locales protegidas, guardia siempre antes de mutar: contrato OK	PASS
tests/pm19/p05-validar-contexto-escritura-contract.mjs	active_contract	0	80ms	PM19 P05 (paso previo) — validarContextoEscrituraPM10 cubre los 5 casos exigidos: contrato OK	PASS
